run_id,Time Elapsed/s,3DBall.Environment.CumulativeReward.mean,batch_size,learning_rate,CPU Model,Operating System,GPU Model,buffer_size,beta,epsilon,lambd,num_epoch,shared_critic,learning_rate_schedule,beta_schedule,epsilon_schedule
1strun-test,0.0110023021697998,1.2063461542129517,64,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear
2ndrun-test,13.85291028022766,1.2289320230484009,64,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear
baseline-test,466.4559035301209,100.00001525878906,64,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear
CSV_Repair_Test,106.25873517990112,61.11579895019531,64,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear
Long_Baseline,1653.1768026351929,100.00001525878906,1024,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear
Long_HighBatch#,1682.1451795101166,69.12354278564453,2048,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear
Long_HighLR,42.37005496025085,2.2850704193115234,64,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear
Long_LowLR,1937.575988531113,2.0656991004943848,1024,1e-05,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear
Short_HighBatch,421.3858735561371,83.28001403808594,2048,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear
Short_LowLR,523.7634398937225,3.011986255645752,64,1e-05,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear
